quote,author,category,hidden_words,choices,author_choices
Sometimes even to live is an act of courage.,Seneca,Roman Philosophy,live,"think,breathe,trust","Nero,Plato,Marcus Aurelius"
Luck is what happens when preparation meets opportunity.,Seneca,Roman Philosophy,"preparation,opportunity","fortune,chance|skill,chance|knowledge,opportunity",
"Religion is regarded by the common people as true, by the wise as false, and by rulers as useful.",Seneca,Roman Philosophy,Religion,"Science,Politics,National Pride","Marcus Aurelius,Augustus,Mark Antony"
We suffer more often in imagination than in reality,Seneca,Roman Philosophy,suffer,"live,learn,win","Plato,Julius Caesar,Augustus"
"Begin at once to live, and count each separate day as a separate life.",Seneca,Roman Philosophy,"day,life","moment,opportunity|year,life|fight,battle","Mark Antony,Caligula,Nero"
"If you have a garden and a library, you have everything you need.",Cicero,Roman Philosophy,"garden,library","wife,family|friend,family|cause,will","Julius Caesar,Augustus,Nero"
"It is easier to find men who will volunteer to die, than to find those who are willing to endure pain with patience.",Julius Caesar,Roman Philosophy,die,"struggle,work,kill","Cicero,Cleopatra,Nero"
The universe is transformation: life is opinion.,Marcus Aurelius,Roman Philosophy,opinion,"struggle,joy,temporary","Nero,Plato,Caligula"
Nothing happens to any man that he is not formed by nature to bear.,Marcus Aurelius,Roman Philosophy,nature,"himself,fate,God","Plato,Julius Caesar,Augustus"
Nowhere can man find a quieter or more untroubled retreat than in his own soul.,Marcus Aurelius,Roman Philosophy,soul,"head,family,friends","Caligula,Julius Caesar,Mark Antony"
"You have power over your mind-not outside events. Realize this, and you will find strength.",Marcus Aurelius,Roman Philosophy,mind,"fate,words,choices","Titus,Zesus,Thor"
Success is walking from failure to failure with no loss of enthusiasm.,Winston Churchill,Success,enthusiasm,"will,appetite,strength",
Never give in except to convictions of honor and good sense.,Winston Churchill,Success,"honor,good sense","humor,levity|duty,honor|love,patience",
Try not to become a man of success. Rather become a man of value.,Albert Einstein,Success,value,"knowledge,kindness,strength",
"I find that the harder I work, the more luck I seem to have.",Thomas Jefferson,Success,luck,"opportunities,chances,money",
Success is not final; failure is not fatal: It is the courage to continue that counts.,Winston Churchill,Success,courage,"will,choice,power",
The only limit to our realization of tomorrow will be our doubts of today.,Franklin D. Roosevelt,Success,doubts,"weakness,sloth,acquiescence",
"The successful warrior is the average man, with laser-like focus.",Bruce Lee,Success,laser-like,"tight,on-going,powerful",
"If you can dream it, you can do it.",Walt Disney,Success,dream,"believe,see,plan",
We are all insects. Groping towards something terrible or divine.,"Philip K. Dick, The Man in the High Castle",Existential,"terrible,divine","weak,powerful|useless,foundational|joyous,saddening",
Life has no meaning the moment you lose the illusion of being eternal.,Jean-Paul Sartre,Existential,eternal,"material,in control,special",
We do not know what we want and yet we are responsible for what we are - that is the fact.,Jean-Paul Sartre,Existential,responsible,"seen,pained,judged",
I took a test in Existentialism. I left all the answers blank and got 100.,Woody Allen,Existential,Existentialism,"Comedy,Stoicism,History",
All life is an experiment. The more experiments you make the better.,Ralph Waldo Emerson,Existential,"experiment,experiments","test,mistakes|joke,laughs|battle,fights",
"There is something infantile in the presumption that somebody else has a responsibility to give your life meaning and point? The truly adult view, by contrast, is that our life is as meaningful, as full and as wonderful as we choose to make it.",Richard Dawkins,Existential,adult,"responsible,reasonable,sane",
For small creatures such as we the vastness is bearable only through love.,Carl Sagan,Existential,vastness,"universe,journey,void",
"Smooth and smiling faces everywhere, but ruin in their eyes.",Jean-Paul Sartre,Existential,ruin,"pain,despair,joy",
Society cares for the individual only so far as he is profitable.,Simone De Beauvoir,Existential,profitable,"useful,appeasing,pliable",
"When an individual is kept in a situation of inferiority, the fact is that he does become inferior.",Simone De Beauvoir,Existential,"inferiority, inferior","weakness,weak|strength,strong|power,corrupt",
I opened myself to the gentle indifference of the world.,Albert Camus,Existential,indifference,"hope,power,strength",
"The world is, of course, nothing but our conception of it.",Anton Chekhov,Existential,conception,"hope,vision,view",
Convictions are more dangerous foes of truth than lies.,Nietzsche,Existential,Convictions,"Religions,Nations,Doubts",
Youth ends when egotism does; maturity begins when one lives for others.,"Hermann Hesse, Gertrude.",Existential,egotism,"joy,discovery,play",
There is no reality except in action.,Jean-Paul Sartre,Existential,action,"belief,self,perception",
We love the things we love for what they are.,Robert Frost,Poetry,"love,love","hate,hate|fight,hate|love,hate",
"At the touch of a lover, everyone becomes a poet.",Plato,Poetry,lover,"friend,mother,dog",
I have loved the stars too fondly to be fearful of the night.,Sarah Williams,Poetry,stars,"moon,bats,dark",
"This is the way the world ends
Not with a bang but a whimper.",T.S. Eliot,Poetry,"bang,whimper","shout,silence|battle,stillness|laugh,cry",
"Because I could not stop for Death
He kindly stopped for me
The Carriage held but just Ourselves
And Immortality.",Emily Dickinson,Poetry,Death,"Love,Joy,Fate",
April is the cruellest month,T.S. Eliot,Poetry,cruellest,"ugliest,holiest,joyous",
I will show you fear in a handful of dust,T.S. Eliot,Poetry,fear,"hope,pain,power",
I have measured out my life with coffee spoons,T.S. Eliot,Poetry,"coffee,spoons","hopeful,sighs|dead,leaves|last,chances",
Humankind cannot bear very much reality,T.S. Eliot,Poetry,reality,"despair,complexity,ambiguity",
"We could all have been killed-or worse, expelled",Hermione Granger,Harry Potter,expelled,"exiled,discovered,embarrassed",
One can never have enough socks,Albus Dumbledore,Harry Potter,socks,"lemon drops,robes,wands",
Alas! Ear wax!,Albus Dumbledore,Harry Potter,"Ear,wax","Good,eats|Quick,bird|Free,snacks",
Yer a wizard Harry.,Hagrid,Harry Potter,wizard,"joker,friend,fighter",
